key,value
Amazonas,0
Ancash,1
Ayacucho,2
Cajamarca,3
Huancavelica,4
Huanuco,5
Junin,6
La Libertad,7
Lambayeque,8
Lima,9
Pasco,10
Piura,11
Tumbes,12
